Target,Postal Code,Latitude Dgr,Longitude Dgr
2304,93312,35.37,-119.1476
2305,37047,35.3708,-86.8381
2306,28078,35.371,-80.8278
2307,27504,35.3773,-78.5541
2308,28027,35.3787,-80.7248
2309,72905,35.3859,-94.3985
2310,93312,35.3863,-119.0955
2311,37327,35.3864,-85.3822
2312,27534,35.3866,-77.9453
2313,74804,35.3868,-96.9217
2314,28027,35.3889,-80.6228
2315,73149,35.389,-97.511
2316,37388,35.3899,-86.2399
2317,93306,35.3915,-118.9608
2318,73064,35.3937,-97.7052
2319,72904,35.3998,-94.3631
2320,28021,35.401,-81.3405
2321,73119,35.4055,-97.5453
2322,73644,35.4078,-99.3806
2323,73644,35.4091,-99.3765
2324,93312,35.4119,-119.1125
2325,27534,35.4143,-77.9386
2326,73135,35.4151,-97.4219
2327,27521,35.4152,-78.6741
2328,73109,35.4214,-97.5279
2329,27530,35.4316,-78.0617
2330,93308,35.4345,-119.0223
2331,74859,35.4358,-96.2988
2332,72832,35.4379,-93.6743
2333,27330,35.4382,-79.2163
2334,74437,35.4388,-95.9744
2335,27332,35.4427,-79.1305
2336,28580,35.4448,-77.6641
2337,27524,35.4465,-78.4219
2338,73115,35.4485,-97.4257
2339,72830,35.4487,-93.4605
2340,74955,35.451,-94.8018
2341,28037,35.4518,-81.0015
2342,37303,35.4528,-84.6316
2343,37355,35.4528,-86.0474
2344,28704,35.4563,-82.5235
2345,27505,35.4594,-79.0531
2346,70737,35.4597,-82.5122
2347,37321,35.4604,-85.0438
2348,73110,35.4626,-97.3896
2349,28083,35.4626,-80.5947
2350,73127,35.4633,-97.6221
2351,28786,35.4667,-83.0099
2352,72956,35.4691,-94.3533
2353,74426,35.47,-95.5343
2354,37091,35.4712,-86.7916
2355,27569,35.4714,-78.1657
2356,28137,35.473,-80.2654
2357,72730,35.4736,-95.5353
2358,28513,35.4765,-77.4387
2359,72921,35.4791,-94.2288
2360,28092,35.4833,-81.2407
2361,28092,35.4842,-81.2416
